NCESSCH	PCT_BACH	PCT_ADVC	P_EXPLT6	P_EXPGT5	MEAN_EXP	M_BSALT6	M_BSAGT5	M_BSAL
120192002482	66.7	33.3	-1.0	-1.0	-1	-1	-1	39047
120192002538	78.6	21.4	20.8	79.2	13	34472	44535	41070
120192002640	71.4	28.6	63.0	37.0	8	34829	46612	38288
120192002641	65.2	34.1	37.7	62.3	11	35305	46137	41108
120192002643	-1.0	-1.0	-1.0	-1.0	17	-1	-1	47550
120192002709	52.9	47.1	22.7	77.3	15	35595	48435	45145
120192002717	-1.0	0.0	-1.0	-1.0	-1	-1	-1	-1
120192002795	70.5	29.5	30.0	70.0	13	34744	46566	42227
120192002796	82.5	17.5	58.2	41.8	9	34447	46223	38591
120192002797	62.1	37.9	43.9	56.1	9	35190	44238	39313
120192002968	59.1	39.8	29.5	70.5	13	34714	47177	42923
120192002969	58.7	41.3	23.7	76.3	14	35657	47097	43651
120192002970	62.6	36.7	33.6	66.4	12	34629	46099	40919
120192002971	30.0	70.0	-1.0	90.0	18	-1	52376	50523
120192002972	-1.0	60.0	0.0	100.0	18	-2	47847	47847
120192003128	75.0	25.0	31.1	68.9	12	34145	44624	40229
120192003129	66.7	33.3	29.5	70.5	13	35068	46261	41085
120192003130	74.1	25.9	42.0	58.0	10	34778	43962	39568
120192003136	-1.0	-1.0	0.0	100.0	23	-2	53675	53675
120192003275	71.1	28.9	23.8	76.2	11	34568	43292	40669
120192003520	0.0	-1.0	0.0	-1.0	-1	-2	-1	-1
120192003670	64.9	33.8	38.1	61.9	10	35042	45008	39693
120192003672	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
120192003808	61.4	38.6	19.4	80.6	16	34645	48604	45337
120192003940	0.0	-1.0	0.0	-1.0	-1	-2	-1	-1
120192003990	77.2	22.8	40.8	59.2	10	36905	43439	39712
120192004455	64.0	36.0	15.9	84.1	13	35536	44315	41769
120192004456	-1.0	-1.0	0.0	100.0	17	-2	47388	47388
120192005747	55.9	44.1	29.4	70.6	14	35311	49655	43731
120192005748	83.3	-1.0	40.0	60.0	12	34115	48569	41133
120192007034	81.1	18.9	30.2	69.8	11	34308	43554	39323
120195002015	65.3	34.7	32.7	67.3	13	33722	43606	40379
120195002017	73.1	25.4	31.8	68.2	11	33779	41669	39551
120195002272	76.9	23.1	30.8	69.2	10	32612	39867	37634
120195002273	62.2	37.8	35.1	64.9	14	34032	45579	41522
120195002657	67.4	32.6	32.6	67.4	16	33782	46090	42083
120195003137	76.2	23.8	31.0	69.0	16	33223	45378	41615
120195003280	-1.0	-1.0	0.0	100.0	21	-2	47217	47217
120195003673	-1.0	0.0	-1.0	-1.0	-1	-1	-1	-1
120195003810	0.0	-1.0	0.0	-1.0	-1	-2	-1	-1
120195004457	63.6	36.4	30.3	69.7	12	33890	41543	39224
120198002018	81.8	18.2	45.5	54.5	11	34797	48038	42019
120198002020	69.0	31.0	42.9	57.1	11	39165	48304	44388
120198002022	57.9	42.1	31.6	68.4	13	41027	49725	46978
